elo_diff,num_games,white_win,black_win,draw,exp_score,white_avg,black_avg,all_avg
210,10676,7163,1042,2471,0.770096677,0.786671038,0.718728706,0.752699872
220,9861,6670,993,2198,0.780129604,0.787851131,0.726122843,0.756986987
230,9014,6209,846,1959,0.78984418,0.797481695,0.733221282,0.765351489
240,8155,5772,728,1655,0.799239991,0.809258124,0.735413131,0.772335628
250,7625,5497,665,1463,0.808317673,0.816852459,0.75818535,0.787518904
260,6882,5075,554,1253,0.817078834,0.828465562,0.755273592,0.791869577
270,6142,4492,489,1161,0.825525987,0.825871052,0.769674355,0.797772704
280,5738,4245,471,1022,0.833662469,0.82886023,0.777724574,0.803292402
290,5046,3813,358,875,0.841492367,0.842350377,0.784667767,0.813509072
300,4610,3511,350,749,0.849020443,0.842841649,0.79977221,0.821306929
310,4345,3425,305,615,0.85625206,0.859033372,0.790517241,0.824775307
320,3836,2976,258,602,0.863193111,0.854275287,0.809788654,0.83203197
330,3451,2673,233,545,0.869849949,0.853520719,0.820611821,0.83706627
340,3160,2516,166,478,0.876229319,0.871835443,0.823754153,0.847794798
350,2771,2223,176,372,0.882338297,0.869361241,0.81906025,0.844210746
360,2605,2110,158,337,0.88818423,0.874664107,0.843623071,0.859143589
370,2384,1957,138,289,0.89377468,0.881501678,0.833855098,0.857678388
380,2156,1772,128,256,0.899117372,0.881261596,0.841924399,0.861592997
390,2025,1659,119,247,0.904220144,0.880246914,0.85584344,0.868045177
400,1789,1489,107,193,0.909090909,0.886249301,0.8452237,0.865736501
410,1567,1337,73,157,0.913737607,0.903318443,0.851676154,0.877497299
420,1529,1255,69,205,0.918168175,0.887835186,0.861070381,0.874452784
430,1320,1096,74,150,0.922390511,0.887121212,0.860335196,0.873728204
440,1196,1029,61,106,0.926412444,0.904682274,0.871886121,0.888284198
450,1144,990,47,107,0.930241713,0.91215035,0.875362319,0.893756334
460,972,831,50,91,0.933885939,0.901748971,0.862459547,0.882104259
470,872,738,44,90,0.937352609,0.89793578,0.879562044,0.888748912
480,776,681,29,66,0.940649057,0.920103093,0.872047244,0.896075168
490,743,625,43,75,0.943782452,0.891655451,0.884560907,0.888108179
500,651,563,37,51,0.946759785,0.903993856,0.890343699,0.897168777
510,583,496,31,56,0.949587858,0.898799314,0.898113208,0.898456261
520,577,501,26,50,0.952273279,0.911611785,0.888535032,0.900073408
530,447,397,14,36,0.954822455,0.928411633,0.912993039,0.920702336
540,445,388,20,37,0.957241589,0.913483146,0.90430622,0.908894683
550,383,329,24,30,0.959536674,0.898172324,0.902046784,0.900109554
560,336,302,8,26,0.961713496,0.9375,0.892226148,0.914863074
570,270,241,10,19,0.963777632,0.927777778,0.903846154,0.915811966
580,240,216,8,16,0.965734449,0.933333333,0.933962264,0.933647799
590,210,190,6,14,0.967589109,0.938095238,0.907608696,0.922851967
600,195,180,7,8,0.96934657,0.943589744,0.917582418,0.930586081
610,167,145,9,13,0.971011589,0.907185629,0.920138889,0.913662259
620,145,131,5,9,0.972588725,0.934482759,0.947204969,0.940843864
630,127,113,7,7,0.974082347,0.917322835,0.898373984,0.907848409
640,131,117,5,9,0.975496632,0.927480916,0.908256881,0.917868898
650,101,97,1,3,0.976835578,0.975247525,0.903061224,0.939154375
660,84,72,8,4,0.978103001,0.880952381,0.936046512,0.908499446
670,86,81,1,4,0.979302548,0.965116279,0.876712329,0.920914304
680,75,67,2,6,0.980437696,0.933333333,0.911290323,0.922311828
690,70,67,0,3,0.981511763,0.978571429,0.957627119,0.968099274
700,58,53,3,2,0.982527909,0.931034483,0.983333333,0.957183908
