decade,opening,f0_
1960,Philidor Defense,43
1960,Sicilian Defense,3082
1960,Caro-Kann Defense,572
1960,Alekhine's Defense,187
1960,Scandinavian Defense,97
1960,Three Knights Opening,81
1960,King's Pawn Opening - Other,102
1960,King's Fianchetto Opening,182
1960,Reti Opening,954
1970,Other,579
1970,English Opening,3668
1970,Indian Game,5656
1970,Slav Defense,279
1970,Dutch Defense,189
1970,Queen's Gambit Accepted,167
1970,Queen's Gambit Declined,479
1970,Queen's Pawn Opening - Other,962
1970,Queen's Pawn Opening - Zuckertort,64
1970,Queen's Pawn Opening - Symmetrical,163
1970,King's Gambit,111
1970,Rui Lopez,2424
1970,Vienna Game,194
1970,Italian Game,286
1970,Pirc Defense,702
1970,Scotch Game,268
1970,French Defense,1823
1970,Modern Defense,1004
1970,Bishop's Opening,82
1970,Petrov's Defense,192
1970,Philidor Defense,119
1970,Sicilian Defense,7435
1970,Caro-Kann Defense,832
1970,Alekhine's Defense,676
1970,Scandinavian Defense,177
1970,Three Knights Opening,92
1970,King's Pawn Opening - Other,281
1970,King's Fianchetto Opening,460
1970,Reti Opening,3330
1980,Other,328
1980,English Opening,2533
1980,Indian Game,6630
1980,Slav Defense,331
1980,Dutch Defense,251
1980,Queen's Gambit Accepted,141
1980,Queen's Gambit Declined,845
1980,Queen's Pawn Opening - Other,1150
1980,Queen's Pawn Opening - Zuckertort,150
1980,Queen's Pawn Opening - Symmetrical,320
1980,King's Gambit,114
1980,Rui Lopez,1491
1980,Vienna Game,123
1980,Italian Game,356
1980,Pirc Defense,568
1980,Scotch Game,175
1980,French Defense,1671
1980,Modern Defense,589
1980,Bishop's Opening,132
1980,Petrov's Defense,343
1980,Philidor Defense,105
1980,Sicilian Defense,6003
1980,Caro-Kann Defense,924
1980,Alekhine's Defense,396
1980,Scandinavian Defense,167
1980,Three Knights Opening,88
1980,King's Pawn Opening - Other,230
1980,King's Fianchetto Opening,285
1980,Reti Opening,2644
1990,Other,3712
1990,English Opening,13064
1990,Indian Game,35365
1990,Slav Defense,4298
1990,Dutch Defense,2427
1990,Queen's Gambit Accepted,1513
1990,Queen's Gambit Declined,5303
1990,Queen's Pawn Opening - Other,10915
1990,Queen's Pawn Opening - Zuckertort,1686
1990,Queen's Pawn Opening - Symmetrical,2655
1990,King's Gambit,887
1990,Rui Lopez,6123
1990,Vienna Game,863
1990,Italian Game,2852
1990,Pirc Defense,4261
1990,Scotch Game,1952
1990,French Defense,12898
1990,Modern Defense,3257
1990,Bishop's Opening,832
1990,Petrov's Defense,1778
1990,Philidor Defense,851
1990,Sicilian Defense,39379
1990,Caro-Kann Defense,7093
1990,Alekhine's Defense,2528
1990,Scandinavian Defense,3917
1990,Three Knights Opening,1148
1990,King's Pawn Opening - Other,2298
1990,King's Fianchetto Opening,1537
1990,Reti Opening,16817
2000,Other,24649
2000,English Opening,76305
2000,Indian Game,195656
2000,Slav Defense,31472
2000,Dutch Defense,14848
2000,Queen's Gambit Accepted,8145
2000,Queen's Gambit Declined,37269
2000,Queen's Pawn Opening - Other,66566
2000,Queen's Pawn Opening - Zuckertort,11691
2000,Queen's Pawn Opening - Symmetrical,19287
2000,King's Gambit,5899
2000,Rui Lopez,44512
2000,Vienna Game,6459
2000,Italian Game,26588
2000,Pirc Defense,29555
2000,Scotch Game,15943
2000,French Defense,88164
2000,Modern Defense,18827
2000,Bishop's Opening,6834
2000,Petrov's Defense,15665
2000,Philidor Defense,6669
2000,Sicilian Defense,268505
2000,Caro-Kann Defense,44564
2000,Alekhine's Defense,14336
2000,Scandinavian Defense,27988
2000,Three Knights Opening,8874
2000,King's Pawn Opening - Other,17053
2000,King's Fianchetto Opening,7881
2000,Reti Opening,92558
